zip,elevation_m,Temp
06441,168,84
06442,68,84
06443,97,84
06444,85,84
06447,132,84
06450,114,84
06451,53,84
06455,112,84
06456,21,84
06457,51,84
06459,45,84
06460,5,84
06461,48,84
06467,48,84
06468,166,84
06469,67,84
06470,143,84
06471,62,84
06472,172,84
06473,15,84
06475,12,84
06477,61,84
06478,203,84
06479,51,84
06480,55,84
06481,62,84
06482,177,84
06483,84,84
06484,124,84
06488,85,84
06489,66,84
06492,84,84
06498,39,84
06510,16,84
06511,15,84
06512,6,84
06513,22,84
06514,64,84
06515,39,84
06516,26,84
06517,41,84
06518,58,84
06519,9,84
06524,175,84
06525,117,84
06604,9,84
06605,5,84
06606,45,84
06607,3,84
06608,11,84
06610,18,84
06611,103,84
06612,135,84
06614,48,84
06615,3,84
06702,89,84
06704,185,84
06705,184,84
06706,123,84
06708,155,84
06710,179,84
06712,256,84
06716,218,84
06750,291,84
06751,251,84
06752,210,84
06753,376,84
06754,418,84
06755,94,84
06756,404,84
06757,128,84
06758,283,84
06759,345,84
06762,225,84
06763,310,84
06770,65,84
06776,141,84
06777,316,84
06778,251,84
06779,158,84
06782,243,84
06783,217,84
06784,155,84
06785,347,84
06786,260,84
06787,149,84
06790,348,84
06791,219,84
06793,287,84
06794,181,84
06795,198,84
06796,295,84
06798,90,84
06801,138,84
06804,105,84
06807,44,84
06810,148,84
06811,225,84
06812,242,84
06820,29,84
06824,52,84
06825,61,84
06830,60,84
06831,98,84
06840,111,84
06850,66,84
06851,34,84
06853,12,84
06854,22,84
06855,0,84
06870,7,84
06877,209,84
06878,26,84
06880,48,84
06883,121,84
06890,42,84
06896,154,84
06897,142,84
06901,18,84
06902,18,84
06903,102,84
06905,51,84
06906,19,84
06907,40,84
07001,12,88
07002,0,88
07003,58,88
07004,56,88
